PERMNO,REPDATS,STATPERS,qtr,year,FPEDATS,RETURNLead,sector,RETP1,RET2P1,SIZE,frev,LTG,SUELag,SGLag,TALag,CAPEXLag,BPLag,EPLag,anFor,anForLag,FE,FELag,actual,CONSENSUS,label,newSTATPERS
P11754,1/24/2002,12/20/2001,4,2001,12/31/2001,0.033365384,25,-0.279451614,0.277142779,9.055097,-3.95E-02,6.88,NA,7.72E-01,NA,-1.50E-02,NA,0.003379416,-1,-8,0,0,0.12,0.12,1,3/28/2001
P11754,1/22/2003,12/19/2002,4,2002,12/31/2002,-0.135274023,25,0.378996383,0.179100041,9.212248,1.64E-02,5.88,6.64E-01,1.10E+00,7.27E-02,4.93E-02,0.60790727,0.02178344,0,-3,-0.022556391,0.188571429,0.65,0.68,1,4/5/2002
P11754,1/22/2004,12/18/2003,4,2003,12/31/2003,0.106739372,25,-0.092826806,-0.276891852,8.903344,1.43E-02,2.4,-1.99E+00,9.01E-01,7.75E-02,5.17E-02,1.352227647,-0.028571428,0,0,0.147540984,0.213793103,0.7,0.52,-1,4/3/2003
P11762,1/20/1997,12/19/1996,4,1996,12/31/1996,0.009318996,20,0.08696043,-0.009248279,8.590021,-5.55E-03,9.6,NA,7.05E-01,NA,-2.12E-02,NA,NA,-1,-1,0.079812207,-0.022026432,0.575,0.49,-1,3/29/1996
P11762,1/20/1998,12/18/1997,4,1997,12/31/1997,0.005602241,20,-0.104076083,0.053984596,8.804922,9.77E-03,9.89,3.39E-02,1.08E+00,1.04E-01,1.64E-02,1.304442065,0.073352435,0,1,0.172069825,0.166253102,1.175,0.83,-1,3/25/1997
P11762,1/20/1999,12/17/1998,4,1998,12/31/1998,-0.015030946,20,-0.150765178,-0.25632045,8.530759,-1.92E-02,9.75,4.94E-01,1.06E+00,2.70E-02,-3.28E-02,1.739096559,0.091048951,0,-5,0,-0.106060606,0.58,0.58,1,3/26/1998
P11762,1/24/2000,12/16/1999,4,1999,12/31/1999,-0.016351119,20,-0.27532336,0.242119228,8.589374,4.36E-04,9.8,5.28E-01,8.38E-01,3.53E-02,-2.73E-02,1.363672793,0.03351298,-2,-4,-0.003134796,0.009523809,0.795,0.8,1,3/26/1999
P11762,1/22/2001,12/14/2000,4,2000,12/31/2000,0.053784944,20,0.225187442,-0.030800436,8.543895,-1.06E-02,10.5,-8.92E-01,1.11E+00,-1.56E-02,2.77E-03,1.868705282,0.038435694,-3,-4,-0.047619048,-0.096774194,0.7,0.77,1,3/28/2000
P11762,1/22/2002,12/20/2001,4,2001,12/31/2001,-0.005241255,20,0.099448914,0.099058505,8.550917,-2.32E-02,9.8,-1.58E+00,1.72E+00,-1.46E-02,-3.49E-02,1.812905873,0.048407014,0,0,0.04,0.04,0.325,0.3,-1,3/27/2001
P11762,1/21/2003,12/19/2002,4,2002,12/31/2002,-0.084368184,20,0.119201556,0.036750864,8.615148,1.74E-03,10.67,-1.73E-01,1.13E+00,-4.45E-02,-4.58E-02,1.835483948,0.052609007,1,0,0.031578947,0.031578947,0.49,0.46,-1,3/26/2002
P11762,1/21/2004,12/18/2003,4,2003,12/31/2003,0.075662144,20,0.232723416,-0.06323136,9.019237,2.15E-03,10.86,1.14E+00,5.30E-01,-6.35E-02,NA,0.517182878,0.031785517,1,-1,0.065292096,0.046931408,0.775,0.68,-1,3/25/2003
P11850,1/25/2000,12/16/1999,4,1999,12/31/1999,-0.003207698,10,-0.059496121,-0.033576257,12.542958,-3.63E-03,9.45,1.05E+00,1.22E+00,2.68E-03,6.97E-02,0.980766738,0.066666667,-2,-8,-0.006451613,0.006535948,0.385,0.39,1,1/5/2000
P11850,1/24/2001,12/14/2000,4,2000,12/31/2000,-0.032063246,10,0.113077284,-0.058744779,12.615657,8.87E-03,10.52,-3.84E-01,1.26E+00,-8.54E-03,1.84E-02,0.896854047,0.03587277,4,3,0.089552239,0.081481481,0.73,0.61,-1,4/5/2000
P11850,1/23/2002,12/20/2001,4,2001,12/31/2001,-0.006361323,10,-0.145363321,-0.032324248,12.497225,-3.64E-03,7.06,5.27E-01,1.24E+00,-1.77E-02,-2.27E-02,2.648676384,0.037522124,-12,-7,0,0.024390244,0.42,0.42,1,4/3/2001
P11850,1/30/2003,12/19/2002,4,2002,12/31/2002,-0.022610107,10,-0.153558409,0.047340757,12.363495,-4.16E-03,7.64,-1.32E+00,9.91E-01,-1.07E-02,1.55E-02,0.858148724,0.081191223,-2,1,0.066666667,0.056603774,0.56,0.49,-1,4/3/2002
P11850,1/29/2004,12/18/2003,4,2003,12/31/2003,-0.005121929,10,0.065969668,-0.03815902,12.503537,6.68E-03,7.71,-7.62E-01,5.25E-01,-2.76E-03,-1.43E-02,1.019788752,0.041959184,1,9,0.096774193,0.079365079,0.68,0.56,-1,4/11/2003
P11896,2/4/1997,12/19/1996,4,1996,12/31/1996,0.016548464,45,0.283363589,-0.350884019,7.425485,9.89E-03,29.2,-8.30E-01,6.44E-01,-1.19E-01,-1.07E-02,1.130164405,0.03245478,-2,-3,0.022222222,0.022222222,0.115,0.11,-1,4/10/1996
P11896,1/27/1998,12/18/1997,4,1997,12/31/1997,0.003623189,45,-0.120489075,-0.118065227,8.195496,7.13E-03,29,1.59E+00,5.78E+00,1.71E-01,3.10E-02,0.642922281,0.033898305,0,1,0.01754386,0.009523809,0.145,0.14,-1,4/17/1997
P11896,1/27/1999,12/17/1998,4,1998,12/31/1998,0.177396283,45,0.125943825,-0.406067936,8.329225,3.14E-03,26.5,1.10E+00,1.19E+00,-6.00E-02,6.82E-02,0.511204785,0.020678048,0,-1,-0.015873016,-0.015873016,0.155,0.16,1,4/8/1998
P11896,1/25/2000,12/16/1999,4,1999,12/31/1999,-0.087950751,45,0.124009284,0.251624999,9.108643,5.29E-03,26.83,1.91E+00,5.66E+00,1.74E-01,3.01E-02,0.368552748,0.036821706,0,13,0,0,0.2,0.2,1,4/7/1999
P11896,1/31/2001,12/14/2000,4,2000,12/31/2000,0.277124196,45,-0.1363813,0.359350849,9.86331,5.49E-03,29.28,NA,9.26E-01,NA,-6.60E-02,NA,NA,0,0,0,0,0.31,0.31,1,4/5/2000
P11896,2/5/2002,12/20/2001,4,2001,12/31/2001,-0.106085084,45,0.277422755,-0.072187347,9.588756,-9.36E-03,24.55,3.87E-01,1.39E+00,3.55E-02,1.80E-03,0.58125402,0.027475673,1,0,0,0,0.18,0.18,1,4/18/2001
P11896,1/29/2003,12/19/2002,4,2002,12/31/2002,-0.055387463,45,0.060669946,-0.114921373,9.414744,4.02E-03,24.94,-2.27E-02,7.71E-01,-3.15E-02,6.34E-02,2.001443617,0.05711775,-1,0,0,0,0.23,0.23,1,4/9/2002
P11896,2/5/2004,1/15/2004,4,2003,12/31/2003,-0.01999997,45,-0.17573595,-0.29343242,9.312005,5.70E-03,24.5,2.17E+00,1.14E+00,8.28E-02,4.89E-02,0.198645495,0.01972973,1,-3,0.018181818,0,0.28,0.27,-1,4/9/2003
